T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326511582,1522326511720,1522326511721,1522326511861
1522326511862,1522326511999,1522326511999,1522326512140
1522326512140,1522326512278,1522326512278,1522326512419
1522326512419,1522326512557,1522326512557,1522326512698
1522326512698,1522326512836,1522326512836,1522326512979
1522326512979,1522326513117,1522326513118,1522326513258
1522326513258,1522326513396,1522326513396,1522326513537
1522326513537,1522326513675,1522326513675,1522326513816
1522326513816,1522326513954,1522326513954,1522326514096
1522326514096,1522326514234,1522326514234,1522326514375
1522326514375,1522326514513,1522326514513,1522326514654
1522326514654,1522326514791,1522326514792,1522326514932
1522326514932,1522326515071,1522326515071,1522326515212
1522326515212,1522326515350,1522326515350,1522326515491
1522326515491,1522326515629,1522326515629,1522326515770
1522326515770,1522326515908,1522326515908,1522326516050
1522326516050,1522326516188,1522326516188,1522326516329
1522326516329,1522326516467,1522326516467,1522326516608
1522326516608,1522326516745,1522326516746,1522326516886
1522326516886,1522326517024,1522326517024,1522326517165
1522326517165,1522326517303,1522326517304,1522326517445
1522326517445,1522326517583,1522326517583,1522326517724
1522326517724,1522326517862,1522326517862,1522326518003
1522326518003,1522326518141,1522326518141,1522326518282
1522326518282,1522326518420,1522326518420,1522326518561
1522326518561,1522326518699,1522326518699,1522326518840
1522326518840,1522326518978,1522326518978,1522326519119
1522326519119,1522326519257,1522326519257,1522326519398
1522326519398,1522326519536,1522326519536,1522326519677
1522326519677,1522326519815,1522326519815,1522326519956
1522326519956,1522326520094,1522326520094,1522326520235
1522326520235,1522326520373,1522326520373,1522326520514
1522326520514,1522326520652,1522326520652,1522326520793
1522326520794,1522326520931,1522326520932,1522326521073
1522326521073,1522326521211,1522326521211,1522326521352
1522326521352,1522326521490,1522326521490,1522326521632
1522326521632,1522326521770,1522326521770,1522326521910
1522326521911,1522326522049,1522326522049,1522326522190
1522326522190,1522326522328,1522326522328,1522326522469
1522326522469,1522326522607,1522326522607,1522326522749
1522326522749,1522326522886,1522326522886,1522326523027
1522326523027,1522326523165,1522326523166,1522326523306
1522326523306,1522326523445,1522326523445,1522326523586
1522326523586,1522326523723,1522326523724,1522326523865
1522326523865,1522326524002,1522326524003,1522326524143
1522326524144,1522326524281,1522326524282,1522326524423
1522326524423,1522326524561,1522326524561,1522326524702
1522326524702,1522326524840,1522326524841,1522326524981
1522326524981,1522326525119,1522326525119,1522326525260
1522326525260,1522326525398,1522326525398,1522326525540
1522326525540,1522326525679,1522326525679,1522326525820
1522326525820,1522326525958,1522326525958,1522326526099
1522326526099,1522326526238,1522326526238,1522326526380
1522326526380,1522326526519,1522326526519,1522326526660
1522326526661,1522326526799,1522326526799,1522326526940
1522326526940,1522326527078,1522326527078,1522326527219
1522326527219,1522326527357,1522326527358,1522326527499
1522326527499,1522326527638,1522326527638,1522326527779
1522326527779,1522326527927,1522326527927,1522326528069
1522326528069,1522326528207,1522326528207,1522326528348
1522326528348,1522326528487,1522326528487,1522326528628
1522326528628,1522326528766,1522326528766,1522326528907
1522326528907,1522326529045,1522326529045,1522326529186
1522326529186,1522326529324,1522326529324,1522326529465
1522326529465,1522326529603,1522326529604,1522326529744
1522326529744,1522326529882,1522326529882,1522326530023
1522326530023,1522326530162,1522326530162,1522326530303
1522326530303,1522326530441,1522326530441,1522326530582
1522326530582,1522326530720,1522326530720,1522326530861
1522326530861,1522326530999,1522326531000,1522326531141
1522326531141,1522326531279,1522326531279,1522326531420
1522326531420,1522326531558,1522326531558,1522326531699
