T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326146282,1522326146429,1522326146429,1522326146590
1522326146590,1522326146731,1522326146731,1522326146818
1522326146818,1522326146960,1522326146960,1522326147203
1522326147203,1522326147346,1522326147346,1522326147510
1522326147510,1522326147655,1522326147655,1522326147818
1522326147818,1522326147961,1522326147961,1522326148125
1522326148125,1522326148270,1522326148270,1522326148431
1522326148431,1522326148575,1522326148575,1522326148842
1522326148842,1522326148984,1522326148984,1522326149149
1522326149149,1522326149294,1522326149294,1522326149457
1522326149457,1522326149599,1522326149599,1522326149763
1522326149763,1522326149907,1522326149907,1522326150070
1522326150070,1522326150213,1522326150213,1522326150379
1522326150379,1522326150521,1522326150521,1522326150689
1522326150689,1522326150835,1522326150835,1522326150993
1522326150993,1522326151137,1522326151137,1522326151299
1522326151299,1522326151443,1522326151443,1522326151606
1522326151606,1522326151749,1522326151749,1522326151915
1522326151915,1522326152059,1522326152059,1522326152221
1522326152221,1522326152364,1522326152364,1522326152528
1522326152528,1522326152671,1522326152671,1522326152835
1522326152835,1522326152978,1522326152978,1522326153065
1522326153065,1522326153207,1522326153207,1522326153347
1522326153347,1522326153490,1522326153490,1522326153654
1522326153654,1522326153798,1522326153798,1522326153962
1522326153962,1522326154105,1522326154105,1522326154269
1522326154269,1522326154413,1522326154413,1522326154578
1522326154578,1522326154722,1522326154723,1522326154883
1522326154883,1522326155027,1522326155027,1522326155192
1522326155192,1522326155334,1522326155334,1522326155476
1522326155476,1522326155623,1522326155623,1522326155804
1522326155804,1522326155947,1522326155948,1522326156111
1522326156111,1522326156255,1522326156255,1522326156419
1522326156419,1522326156563,1522326156563,1522326156726
1522326156726,1522326156869,1522326156869,1522326157034
1522326157034,1522326157176,1522326157176,1522326157378
1522326157378,1522326157523,1522326157523,1522326157648
1522326157648,1522326157790,1522326157790,1522326157955
1522326157955,1522326158097,1522326158098,1522326158262
1522326158262,1522326158405,1522326158405,1522326158570
1522326158570,1522326158713,1522326158713,1522326158877
1522326158877,1522326159023,1522326159023,1522326159184
1522326159184,1522326159330,1522326159330,1522326159491
1522326159491,1522326159645,1522326159645,1522326159798
1522326159798,1522326159954,1522326159954,1522326160106
1522326160106,1522326160260,1522326160260,1522326160413
1522326160413,1522326160562,1522326160562,1522326160720
1522326160720,1522326160873,1522326160873,1522326161032
1522326161033,1522326161181,1522326161181,1522326161335
1522326161335,1522326161484,1522326161484,1522326161643
1522326161643,1522326161790,1522326161790,1522326161949
1522326161949,1522326162087,1522326162087,1522326162256
1522326162256,1522326162399,1522326162399,1522326162564
1522326162564,1522326162707,1522326162707,1522326162870
1522326162871,1522326163014,1522326163014,1522326163127
1522326163127,1522326163271,1522326163271,1522326163357
1522326163358,1522326163502,1522326163502,1522326163691
1522326163691,1522326163835,1522326163835,1522326163998
1522326163998,1522326164140,1522326164140,1522326164304
1522326164304,1522326164448,1522326164448,1522326164611
1522326164612,1522326164757,1522326164757,1522326164918
1522326164919,1522326165063,1522326165063,1522326165226
1522326165226,1522326165370,1522326165370,1522326165533
1522326165533,1522326165676,1522326165676,1522326165840
1522326165840,1522326165983,1522326165983,1522326166147
1522326166147,1522326166292,1522326166292,1522326166454
1522326166454,1522326166597,1522326166597,1522326166762
1522326166762,1522326166906,1522326166906,1522326167069
1522326167069,1522326167213,1522326167213,1522326167376
1522326167376,1522326167519,1522326167519,1522326167683
1522326167684,1522326167826,1522326167826,1522326167990
1522326167990,1522326168135,1522326168135,1522326168298
1522326168298,1522326168440,1522326168440,1522326168605
1522326168605,1522326168749,1522326168749,1522326168912
1522326168912,1522326169056,1522326169056,1522326169219
1522326169219,1522326169366,1522326169366,1522326169526
1522326169527,1522326169669,1522326169669,1522326169834
1522326169834,1522326169977,1522326169977,1522326170141
1522326170141,1522326170283,1522326170283,1522326170448
1522326170448,1522326170592,1522326170592,1522326170757
1522326170757,1522326170902,1522326170902,1522326171062
1522326171063,1522326171206,1522326171206,1522326171370
1522326171370,1522326171515,1522326171515,1522326171677
1522326171677,1522326171815,1522326171815,1522326171988
1522326171988,1522326172132,1522326172132,1522326172291
1522326172291,1522326172433,1522326172433,1522326172608
1522326172608,1522326172751,1522326172751,1522326172906
